publ_0506,Bufleb Sort
publ_0507,Bulang
publ_0508,Bulang Nachf
publ_0509,Buldig
publ_0510,Burckhardt
publ_0511,Burdach
publ_0512,Bureau de la Revue musicale
publ_0512,Bureau de Revue
publ_0513,Bureau de l’Orphéon
publ_0514,Bureau du Journal
publ_0515,Bureau für Literatur u. Kunst
publ_0516,Burgdorfer
publ_0517,Alfons Burger
publ_0518,Burmeister
publ_0519,Burmester
publ_0520,Burow
publ_0521,Bursik & Kohout
publ_0521,Bursík & Kohout
publ_0522,Buschak u. Irrgang
publ_0523,Buselmeier
publ_0524,Busse
publ_0525,v. Busse
publ_0526,Bussjäger
publ_0527,Butter
publ_0528,Butz
publ_0529,Buwa
publ_0530,Buzárovits
publ_0531,Bárd
publ_0532,Bárd & Bruder
publ_0533,Bädecker
publ_0533,Baedecker
publ_0534,Bädeker
publ_0535,Bärmann
publ_0536,Böck
publ_0537,Böhlau
publ_0538,Böhm
publ_0539,Boehm & Sohn
publ_0539,Böhm
publ_0539,Böhm &
publ_0539,Böhm & S
publ_0539,Böhm & Sohn
publ_0540,Böhme
publ_0541,Böhme & Sohn
publ_0542,Boië
publ_0542,Böie
publ_0543,Bölitz
publ_0544,Boelling
publ_0544,Bölling
publ_0545,Bösel
publ_0546,Bösenberg
publ_0547,Bösendahl
publ_0548,Börsendorfer
publ_0548,Bösendorfer
publ_0549,Bösendorfer (in Comm.)
publ_0550,A. Bösendorfer
publ_0551,Boessenecker
publ_0551,Bösenecker
publ_0551,Bössenecker
publ_0552,Boessenecker Verl
publ_0552,Böessenecker Verl
publ_0553,Böttger
publ_0554,Bücher-Magazin f. Preussen
publ_0554,Bücher-Magazin für Preussen
publ_0555,Büching
publ_0556,Büching’s Verl
publ_0557,Büchle
publ_0558,Büchting
publ_0559,Bück
publ_0560,Bühler
publ_0561,Bülow
publ_0562,Bültmann & Gerriets
publ_0563,Bürkner
publ_0564,Büschler
publ_0565,Büschler’sche Verlags-Buchhdl
publ_0566,Büttner
publ_0567,Callwey
publ_0568,Calow
publ_0569,Calvary u. Co
publ_0570,Calve
publ_0571,Campe
publ_0572,Campe u. Sohn
publ_0574,Capra
publ_0575,Carisch & Jänichen
publ_0576,Carius
publ_0577,Carly
publ_0578,Carsted
publ_0579,Carstens
publ_0580,Casper
publ_0581,Cast
publ_0582,Catelin et Co
publ_0583,Central-Bureau f. nützl. Erfindungen
publ_0584,Central-Comptoir
publ_0586,Central-Verlag f. Unterrichts- u. Beschäftigungs-Material
publ_0587,Chaberski
publ_0588,Challier
publ_0589,Callier & Co
publ_0589,Callier u. Co
publ_0589,Chalier & Co
publ_0589,Chalier u. Co
publ_0589,Challier
publ_0589,Challier &
publ_0589,Challier & C
publ_0589,Challier & Co
publ_0589,Challier & co
publ_0589,Challier et
publ_0589,Challier et C
publ_0589,Challier et Co
publ_0589,Challier et Comp
publ_0589,Challier et. Co
publ_0589,Challier u Co
publ_0589,Challier u.
publ_0589,Challier u. C
publ_0589,Challier u. Co
publ_0589,Challier u. Comp
publ_0589,Challier und Comp
publ_0590,E Challier
publ_0590,E. Challier
publ_0591,Ernst Challier
publ_0592,Ernst Challier’s Selbst-Vlg
publ_0593,Challiot
